publication_id,reference_id
W2096042773,W2139306958
W2096042773,W2140856490
W2096042773,W2143798991
W2096042773,W2146019564
W2096042773,W2146948159
W2096042773,W2147449244
W2096042773,W2149801515
W2096042773,W2151360354
W2096042773,W2151905266
W2096042773,W2152982168
W2096042773,W2154998637
W2096042773,W2155009910
W2096042773,W2155026410
W2096042773,W2155486224
W2096042773,W2155635068
W2096042773,W2157289187
W2096042773,W2159330012
W2096042773,W2159429349
W2096042773,W2161377823
W2096042773,W2165631458
W2096042773,W2166995258
W2096042773,W2168190208
W2096042773,W2169920658
W2096042773,W2171678418
W2096042773,W2173783455
W2096042773,W2184282975
W2096042773,W2343900332
W2096042773,W2395018040
W2096042773,W2399411781
W2096042773,W2495214509
W2096042773,W2515805897
W2096042773,W2582521406
W2096042773,W2601321973
W2096042773,W2756207886
W2096042773,W2784413597
W2096042773,W2802089619
W2096042773,W2912596165
W2096042773,W2921844135
W2096042773,W3006759111
W2096042773,W3145613158
W2096042773,W4229756741
W2096042773,W4233596950
W2096042773,W4235801128
W2096042773,W4239603325
W2096042773,W4240295749
W2096042773,W4240459253
W2096042773,W4250008609
W2096042773,W4256399001
W2096042773,W6630535898
W2104617690,W192828507
W2104617690,W645009165
W2104617690,W1486313877
W2104617690,W1497286318
W2104617690,W1538807643
W2104617690,W2003840516
W2104617690,W2024664008
W2104617690,W2031344788
W2104617690,W2045114640
W2104617690,W2056919333
W2104617690,W2061655543
W2104617690,W2090260539
W2104617690,W2091784785
W2104617690,W2108893166
W2104617690,W2119480063
W2104617690,W2123668258
W2104617690,W2128523760
W2104617690,W2137526265
W2104617690,W2139598342
W2104617690,W2161377823
W2104617690,W2395018040
W2104617690,W2514745754
W2104617690,W2582521406
W2104617690,W2601346836
W2104617690,W2950001512
W2104617690,W3021516576
W2104617690,W4239603325
W2104617690,W4285719527
W2104617690,W4312525752
W2913521326,W1593337933
W2913521326,W1950736173
W2913521326,W1988772517
W2913521326,W1989016101
W2913521326,W2037001540
W2913521326,W2068842407
W2913521326,W2070740211
W2913521326,W2078990298
W2913521326,W2103604870
W2913521326,W2164737198
W2913521326,W2264140324
W2913521326,W2329362915
W1532335443,W21347096
W1532335443,W141282325
W1532335443,W143260562
W1532335443,W1483288638
W1532335443,W1485686705
W1532335443,W1489930039
W1532335443,W1499933681
W1532335443,W1794751999
W1532335443,W1970094055
W1532335443,W2011601440
W1532335443,W2067306205
W1532335443,W2074439470
W1532335443,W2077486936
W1532335443,W2114971935
W1532335443,W2131657873
W1532335443,W2229376303
W1532335443,W2912596165
W1532335443,W3010796970
W49218811,W61141945
W49218811,W1553904877
W49218811,W1590946104
W49218811,W1676611600
W49218811,W2157289187
W49218811,W2282832571
W314318557,W2085596355
W2001461756,W10282353
W2001461756,W1499933681
W2001461756,W1501755754
W2001461756,W1514361649
W2001461756,W1523224409
W2001461756,W1552798956
W2001461756,W1950864686
W2001461756,W1975141679
W2001461756,W1975270274
W2001461756,W1977243936
W2001461756,W2003696225
W2001461756,W2007305681
W2001461756,W2007482827
W2001461756,W2022113252
W2001461756,W2027619062
W2001461756,W2030646058
W2001461756,W2038043168
W2001461756,W2039170454
W2001461756,W2082627290
W2001461756,W2113227284
W2001461756,W2133033884
W2001461756,W3203748669
W2001461756,W4232715705
W2001461756,W4247442285
W2001461756,W6600421909
W2001461756,W6630002413
W2134314161,W1502818505
W2134314161,W1577214156
W2134314161,W2048499497
W2057978450,W114330277
W2057978450,W314318557
W2057978450,W334862092
W2057978450,W1482881554
W2057978450,W1492518088
W2057978450,W1502491548
W2057978450,W1557496348
W2057978450,W1561096916
W2057978450,W1595149313
W2057978450,W1618163275
W2057978450,W1850411724
W2057978450,W1933704425
W2057978450,W1971927703
W2057978450,W1981978827
W2057978450,W1991049577
W2057978450,W1997110426
W2057978450,W1999053831
W2057978450,W2003840516
W2057978450,W2006144938
W2057978450,W2015033419
W2057978450,W2041594004
W2057978450,W2076673326
W2057978450,W2079702731
W2057978450,W2091784785
W2057978450,W2139190150
W2057978450,W2153314286
W2057978450,W2155417611
W2057978450,W2188926750
W2057978450,W2475834330
W2057978450,W2800931606
W2057978450,W2801760051
W2057978450,W3159015286
W2057978450,W4239603325
W2057978450,W4285719527
W2057978450,W6686843343
W2057978450,W7070669694
W2170410208,W598217161
W2170410208,W623272083
W2170410208,W1520666785
W2170410208,W1571144263
W2170410208,W1766888123
W2170410208,W1876557575
W2170410208,W1919435019
W2170410208,W1963527011
W2170410208,W1995493928
W2170410208,W2006144938
W2170410208,W2007894891
W2170410208,W2009896906
W2170410208,W2030547026
W2170410208,W2072813844
W2170410208,W2074411202
W2170410208,W2076156369
W2170410208,W2132087580
W2170410208,W2340808199
W2546635522,W140020327
W2546635522,W653216719
W2546635522,W1488559003
W2546635522,W1513534766
W2546635522,W1518046314
W2546635522,W1524577329
W2546635522,W1524703788
W2546635522,W1571311223
W2546635522,W1958876462
W2546635522,W1964538581
W2546635522,W1977814330
W2546635522,W1984281348
